EID,FORTARGET,PROB
27794,0,0.3673
27842,0,0.3678
27843,0,0.3623
27848,0,0.3695
27935,0,0.3824
28002,0,0.4689
28007,0,0.3581
28078,0,0.4144
28138,0,0.366
28204,0,0.3768
28333,0,0.3692
28446,0,0.3439
28490,0,0.3773
28882,0,0.3659
29020,0,0.3616
29030,0,0.4148
29297,0,0.3824
29389,0,0.3678
29391,0,0.3591
29421,0,0.4121
29511,0,0.3588
29869,0,0.4012
30064,0,0.3546
30130,0,0.3787
30150,0,0.3447
30319,0,0.4027
30570,0,0.3429
30714,0,0.3722
30736,0,0.3646
30840,0,0.3829
30974,0,0.3922
31507,0,0.4652
31593,0,0.3706
31627,0,0.3469
31875,0,0.3749
31897,0,0.3655
32145,0,0.338
32235,0,0.3933
32402,0,0.3757
32403,0,0.3836
32425,0,0.3485
32895,0,0.3643
32908,0,0.39
33363,0,0.3785
33614,0,0.3644
33709,0,0.3749
33812,0,0.4083
34435,0,0.3691
34584,0,0.3445
34878,0,0.429
34928,0,0.3826
35015,0,0.36
35076,0,0.3942
35140,0,0.3954
35543,0,0.3637
35626,0,0.3714
35684,0,0.362
35767,0,0.4273
35784,0,0.3807
35787,0,0.3699
36030,0,0.3698
36434,0,0.4014
36470,0,0.3791
36678,0,0.3746
36748,0,0.371
36823,0,0.3399
37010,0,0.383
37301,0,0.3825
37317,0,0.3649
37347,0,0.3671
37421,0,0.3904
37606,0,0.4192
37795,0,0.4153
37898,0,0.3633
37995,0,0.3702
38005,0,0.395
38196,0,0.3678
38240,0,0.334
38431,0,0.3373
38442,0,0.3677
38683,0,0.3854
38851,0,0.3472
38972,0,0.3828
39029,0,0.3618
39130,0,0.3755
39276,0,0.3931
39374,0,0.3637
39738,0,0.3418
39959,0,0.3456
40543,0,0.3619
40800,0,0.4559
40809,0,0.3686
41403,0,0.357
41462,0,0.397
41786,0,0.3809
41878,0,0.4506
42369,0,0.3605
42429,0,0.4018
42437,0,0.3675
42469,0,0.3618
42472,0,0.3414
42518,0,0.3799
42593,0,0.4014
43030,0,0.4018
43092,0,0.3762
43621,0,0.3646
44016,0,0.3384
44061,0,0.3685
44062,0,0.3733
44133,0,0.3632
44161,0,0.3846
44329,0,0.3463
44364,0,0.3691
44447,0,0.3665
44514,0,0.3667
44923,0,0.3824
44935,0,0.371
44967,0,0.3637
45550,0,0.3898
45787,0,0.4068
45999,0,0.37
46189,0,0.3472
46582,0,0.402
46717,0,0.4104
46783,0,0.3729
47202,0,0.4076
47277,0,0.4018
47410,0,0.3572
47451,0,0.407
47508,0,0.3478
47527,0,0.3743
47644,0,0.3898
48105,0,0.3809
48107,0,0.3782
48170,0,0.3384
48215,0,0.39
48768,0,0.3778
49027,0,0.3658
49063,0,0.4057
49124,0,0.3675
49256,0,0.3709
49359,0,0.4273
49500,0,0.374
49998,0,0.341
50342,0,0.4144
50516,0,0.3672
50555,0,0.3625
50561,0,0.3686
50582,0,0.4689
50583,0,0.3728
50685,0,0.3935
50701,0,0.3607
50730,0,0.3678
50861,0,0.3695
50929,0,0.394
51006,0,0.3641
51144,0,0.3767
51167,0,0.3566
51527,0,0.3505
51697,0,0.3426
51818,0,0.3756
51925,0,0.3923
52657,0,0.3449
52756,0,0.3742
52823,0,0.3666
53026,0,0.3824
53115,0,0.3738
53231,0,0.3839
53256,0,0.3618
53398,0,0.3611
53615,0,0.3786
53699,0,0.3827
54108,0,0.3474
54194,0,0.3778
54223,0,0.4018
54922,0,0.3717
54975,0,0.3624
55613,0,0.367
55616,0,0.3794
55705,0,0.3665
55726,0,0.3733
55843,0,0.3709
55948,0,0.4012
55983,0,0.3611
56040,0,0.3425
56086,0,0.3643
56102,0,0.3664
56335,0,0.3585
56424,0,0.3677
56548,0,0.3676
56611,0,0.3617
56959,0,0.3791
56989,0,0.3824
57374,0,0.4135
57423,0,0.3678
57573,0,0.3564
57721,0,0.4018
57820,0,0.3611
57974,0,0.3356
58191,0,0.429
58260,0,0.4033
58276,0,0.3696
58513,0,0.3573
58796,0,0.3405
59057,0,0.3702
59259,0,0.3632
59292,0,0.4026
59322,0,0.3602
59347,0,0.3685
59376,0,0.3675
59482,0,0.4135
59763,0,0.3406
59781,0,0.3733
59801,0,0.4148
59819,0,0.4585
59912,0,0.3583
59925,0,0.4187
59963,0,0.4135
60138,0,0.3678
60324,0,0.366
60392,0,0.3838
60470,0,0.3726
60592,0,0.3824
60646,0,0.3503
60783,0,0.3678
61151,0,0.3767
61200,0,0.3672
61372,0,0.3877
61460,0,0.3581
61543,0,0.3623
61596,0,0.3941
61598,0,0.3657
61877,0,0.4143
62453,0,0.3635
62454,0,0.3426
62520,0,0.4103
62583,0,0.3685
62599,0,0.3749
62726,0,0.3431
62762,0,0.3453
62880,0,0.3947
63154,0,0.4652
63159,0,0.3803
63304,0,0.3603
63451,0,0.3472
63534,0,0.3756
63843,0,0.3824
63895,0,0.4027
63957,0,0.3695
64087,0,0.3467
64099,0,0.3416
64230,0,0.3662
64328,0,0.3676
64582,0,0.4192
64639,0,0.3455
64820,0,0.3879
64987,0,0.3445
65075,0,0.3649
65421,0,0.4689
65482,0,0.3639
65923,0,0.3695
65966,0,0.4231
66129,0,0.416
66768,0,0.3674
67008,0,0.3588
67096,0,0.4033
67221,0,0.3639
67291,0,0.3676
67487,0,0.3793
67543,0,0.3589
67569,0,0.4171
67812,0,0.4045
68117,0,0.3676
68423,0,0.3817
68631,0,0.4137
68902,0,0.3551
68998,0,0.3765
69153,0,0.3559
69296,0,0.3553
69344,0,0.3676
69681,0,0.3433
69705,0,0.376
69734,0,0.3732
69806,0,0.3742
69810,0,0.3731
69871,0,0.3511
70121,0,0.4064
70299,0,0.3693
70313,0,0.395
70401,0,0.3741
71306,0,0.3338
71557,0,0.3643
71584,0,0.4075
72293,0,0.3558
72323,0,0.3469
72324,0,0.3633
72568,0,0.412
72740,0,0.4322
72790,0,0.3641
72818,0,0.3709
73045,0,0.3689
73541,0,0.3602
73579,0,0.365
73760,0,0.4634
73998,0,0.4026
74330,0,0.3695
74429,0,0.395
74476,0,0.3537
75130,0,0.3741
75179,0,0.3486
75285,0,0.3709
75303,0,0.3641
75554,0,0.405
75568,0,0.3605
75810,0,0.3623
75888,0,0.364
75907,0,0.3824
76071,0,0.4689
76122,0,0.3695
76249,0,0.4064
76315,0,0.339
76522,0,0.3824
76728,0,0.383
76792,0,0.4146
76883,0,0.3343
77057,0,0.3799
77177,0,0.3643
77526,0,0.3884
77578,0,0.3713
77579,0,0.412
77617,0,0.3824
77994,0,0.4135
78564,0,0.3649
78782,0,0.3632
78937,0,0.3904
79197,0,0.3639
79311,0,0.3692
79433,0,0.371
79633,0,0.3666
80078,0,0.3749
80123,0,0.4318
80250,0,0.3621
80265,0,0.3787
80294,0,0.3832
80517,0,0.3647
80938,0,0.3393
80980,0,0.3695
81033,0,0.3709
81048,0,0.355
81226,0,0.3831
81272,0,0.4142
81425,0,0.3752
81864,0,0.4231
81967,0,0.3641
82219,0,0.3667
82232,0,0.3568
82268,0,0.3678
82338,0,0.369
82468,0,0.3713
82615,0,0.397
82813,0,0.3641
83037,0,0.3632
83132,0,0.3904
83173,0,0.3771
83556,0,0.3824
83674,0,0.4034
83675,0,0.3691
83770,0,0.365
83801,0,0.368
83928,0,0.4042
84011,0,0.429
84524,0,0.3646
84914,0,0.3866
84917,0,0.3751
84945,0,0.3642
85054,0,0.3838
85070,0,0.3747
85138,0,0.3824
85336,0,0.3646
85857,0,0.3646
86047,0,0.3699
86361,0,0.3798
86431,0,0.3675
87405,0,0.3959
87515,0,0.3703
87667,0,0.4008
87954,0,0.4135
87973,0,0.3762
88001,0,0.395
88242,0,0.3647
88571,0,0.4171
88594,0,0.3976
88808,0,0.3785
88811,0,0.363
89061,0,0.3346
89351,0,0.3766
89448,0,0.3559
89558,0,0.3695
89646,0,0.404
89964,0,0.3784
90098,0,0.383
90139,0,0.3409
90368,0,0.4322
90661,0,0.3755
90969,0,0.3651
91107,0,0.3639
91122,0,0.3691
91498,0,0.3628
91776,0,0.3625
91991,0,0.3889
92399,0,0.3942
92412,0,0.3786
92437,0,0.4018
92575,0,0.3986
92597,0,0.3677
92748,0,0.3749
93351,0,0.3643
93707,0,0.4064
94273,0,0.3934
94325,0,0.3318
94389,0,0.416
94510,0,0.3654
94534,0,0.419
94756,0,0.3534
94817,0,0.3677
94997,0,0.363
95254,0,0.3873
95263,0,0.4064
95292,0,0.3779
95308,0,0.3632
95511,0,0.3741
95600,0,0.4652
95604,0,0.4522
95867,0,0.3632
95936,0,0.405
96300,0,0.4089
96468,0,0.3991
96510,0,0.3686
96693,0,0.4188
96724,0,0.4318
96738,0,0.3448
96912,0,0.393
97304,0,0.3391
97318,0,0.3695
97329,0,0.3424
97378,0,0.3833
97463,0,0.354
97519,0,0.3783
97854,0,0.3904
97987,0,0.3639
98588,0,0.4018
98740,0,0.4689
98943,0,0.39
99135,0,0.3414
99319,0,0.3874
99520,0,0.3666
99664,0,0.3396
99715,0,0.3671
99813,0,0.3702
100043,0,0.363
100206,0,0.3824
100265,0,0.362
100334,0,0.4033
100336,0,0.3727
100517,0,0.4022
100866,0,0.406
101047,0,0.3658
101087,0,0.3451
101159,0,0.3732
101209,0,0.3691
101287,0,0.3659
102093,0,0.3746
102327,0,0.3573
102520,0,0.3675
102525,0,0.4012
102710,0,0.3752
102742,0,0.3691
102905,0,0.3734
103110,0,0.3793
103249,0,0.3589
103294,0,0.4318
103449,0,0.3325
103610,0,0.429
103734,0,0.3787
103766,0,0.3466
104139,0,0.4063
104358,0,0.3661
104481,0,0.3753
104766,0,0.3693
104767,0,0.3709
104768,0,0.4414
105236,0,0.3933
105269,0,0.4091
105645,0,0.3685
105897,0,0.3749
106029,0,0.3824
106312,0,0.3586
106434,0,0.3447
106763,0,0.3591
107009,0,0.3487
107044,0,0.371
107132,0,0.3787
107349,0,0.3784
107468,0,0.3663
107527,0,0.3935
107587,0,0.3642
107650,0,0.3746
107934,0,0.3785
108150,0,0.3699
108339,0,0.3682
108655,0,0.3522
108902,0,0.3513
108968,0,0.3431
109640,0,0.3699
109746,0,0.3558
109850,0,0.363
110036,0,0.3666
110151,0,0.3659
110164,0,0.4004
110271,0,0.3762
110443,0,0.3934
110503,0,0.3425
110525,0,0.3632
110835,0,0.3474
111051,0,0.3639
111060,0,0.4306
111293,0,0.3824
111406,0,0.3695
111461,0,0.383
112058,0,0.3667
112086,0,0.3608
112188,0,0.3597
112547,0,0.3626
112673,0,0.3787
112678,0,0.4029
112714,0,0.356
112717,0,0.412
112873,0,0.3647
112917,0,0.3761
112993,0,0.3444
113398,0,0.3608
113530,0,0.3392
113575,0,0.3824
113896,0,0.4143
114032,0,0.3842
114177,0,0.3672
114450,0,0.3414
114572,0,0.369
114656,0,0.3743
114841,0,0.3749
114985,0,0.3637
115148,0,0.3934
115185,0,0.3824
115215,0,0.3626
115723,0,0.395
116089,0,0.3705
116126,0,0.3566
116926,0,0.3406
117064,0,0.3451
117207,0,0.388
117333,0,0.3566
117466,0,0.3632
117501,0,0.4089
117601,0,0.3503
117960,0,0.3693
118225,0,0.3676
118486,0,0.371
118834,0,0.3799
119128,0,0.3756
119222,0,0.382
119289,0,0.4104
119318,0,0.3815
119350,0,0.3349
119382,0,0.3627
119492,0,0.3705
119577,0,0.3828
119777,0,0.3676
120125,0,0.3694
120466,0,0.3426
120668,0,0.357
120982,0,0.3646
121032,0,0.3842
121046,0,0.3528
121090,0,0.3824
121155,0,0.3702
121367,0,0.3824
121373,0,0.3626
121398,0,0.3803
121587,0,0.369
121881,0,0.3496
122806,0,0.382
123028,0,0.3598
123042,0,0.4064
123139,0,0.3824
123152,0,0.3793
123265,0,0.3695
123413,0,0.3799
123424,0,0.3698
123488,0,0.3729
123564,0,0.3396
123794,0,0.3828
124571,0,0.3711
124988,0,0.3824
125291,0,0.3696
125503,0,0.3781
125556,0,0.3674
125701,0,0.3706
125982,0,0.418
125991,0,0.3973
125993,0,0.357
126146,0,0.3561
126261,0,0.3863
126695,0,0.3831
127003,0,0.3962
127248,0,0.4657
127354,0,0.3682
127533,0,0.3973
127921,0,0.3585
127978,0,0.3617
128213,0,0.3445
128248,0,0.3591
128395,0,0.4341
128476,0,0.393
128583,0,0.3699
128598,0,0.3584
128701,0,0.3737
128810,0,0.3666
128837,0,0.3746
129068,0,0.3538
129116,0,0.3813
129249,0,0.4689
129516,0,0.3954
129639,0,0.3693
129805,0,0.3752
129960,0,0.3633
130064,0,0.4171
130128,0,0.3922
130360,0,0.3824
130419,0,0.3955
130470,0,0.4652
130665,0,0.4689
130741,0,0.3739
130905,0,0.3449
131012,0,0.3911
131038,0,0.3824
131209,0,0.369
131315,0,0.4109
131943,0,0.3742
132112,0,0.3701
132422,0,0.3665
132508,0,0.367
132749,0,0.3669
132978,0,0.3609
132979,0,0.4192
133268,0,0.3809
133317,0,0.369
133328,0,0.3585
133783,0,0.3838
133828,0,0.3516
134087,0,0.364
134114,0,0.3662
134626,0,0.3644
134654,0,0.4142
134770,0,0.429
134808,0,0.3633
134931,0,0.3827
135014,0,0.3641
135073,0,0.3949
135183,0,0.4029
135232,0,0.3636
135877,0,0.3566
135900,0,0.3746
136143,0,0.4099
136148,0,0.3827
136248,0,0.3333
136379,0,0.3706
136583,0,0.3364
136619,0,0.3802
136665,0,0.3691
137050,0,0.4619
137059,0,0.4689
137132,0,0.3686
137243,0,0.4138
137406,0,0.3622
137743,0,0.3641
137781,0,0.3581
137861,0,0.3662
138027,0,0.3706
138080,0,0.3643
138223,0,0.3763
138580,0,0.394
138595,0,0.3824
138680,0,0.4301
139079,0,0.3593
139165,0,0.3815
139625,0,0.3509
139903,0,0.3626
140024,0,0.4033
140247,0,0.3828
140375,0,0.4018
140381,0,0.397
140992,0,0.3904
141464,0,0.3674
141474,0,0.4273
141519,0,0.336
141553,0,0.3764
141940,0,0.4043
141971,0,0.3655
142053,0,0.429
142196,0,0.372
142352,0,0.367
142383,0,0.3911
143021,0,0.3695
143353,0,0.3693
143510,0,0.3787
143727,0,0.3643
143742,0,0.4171
143937,0,0.3369
144166,0,0.3695
144168,0,0.3731
144177,0,0.3629
144186,0,0.3402
144237,0,0.3427
144254,0,0.3621
144309,0,0.3827
144608,0,0.367
144705,0,0.3962
144706,0,0.3592
145058,0,0.4012
145206,0,0.3756
145236,0,0.3672
145265,0,0.3737
145375,0,0.3574
145870,0,0.3934
145964,0,0.375
146196,0,0.3582
146230,0,0.4017
146259,0,0.3691
146444,0,0.3716
146448,0,0.3831
146552,0,0.3827
146912,0,0.4522
147155,0,0.3828
147279,0,0.3742
148101,0,0.379
148292,0,0.3713
148383,0,0.333
148386,0,0.3742
148521,0,0.3611
148902,0,0.369
148917,0,0.3824
149192,0,0.3671
149318,0,0.416
149494,0,0.405
149570,0,0.3588
149780,0,0.3742
149975,0,0.4024
150033,0,0.3594
150061,0,0.3824
150188,0,0.416
150368,0,0.3784
151080,0,0.3669
151108,0,0.3689
151304,0,0.3962
151314,0,0.3822
151591,0,0.3556
151614,0,0.3793
151851,0,0.3791
151870,0,0.3756
152060,0,0.3933
152401,0,0.3934
153639,0,0.3747
154003,0,0.3678
154054,0,0.3621
154139,0,0.3685
154454,0,0.3706
154604,0,0.3633
154629,0,0.3869
154656,0,0.4072
154778,0,0.3643
154988,0,0.4322
155111,0,0.3791
155162,0,0.364
155240,0,0.335
155326,0,0.4104
156006,0,0.4011
156127,0,0.3679
156159,0,0.3676
156336,0,0.3727
156632,0,0.3709
156656,0,0.3662
157145,0,0.3543
157206,0,0.334
157469,0,0.3926
157629,0,0.366
157684,0,0.339
157854,0,0.3693
157901,0,0.3551
157941,0,0.4068
158146,0,0.3472
158365,0,0.3454
158377,0,0.3423
158398,0,0.3842
158427,0,0.4273
158754,0,0.405
158801,0,0.3672
159074,0,0.3632
159184,0,0.3741
159195,0,0.4022
159417,0,0.3696
159502,0,0.3696
159689,0,0.3774
159869,0,0.3634
159919,0,0.4042
159947,0,0.3646
160005,0,0.4042
160013,0,0.3475
160285,0,0.3678
160673,0,0.3678
160897,0,0.4273
161097,0,0.356
161188,0,0.3445
161194,0,0.4017
161413,0,0.4018
161502,0,0.3615
161875,0,0.3697
161889,0,0.415
162277,0,0.4133
162863,0,0.3646
162867,0,0.3742
163169,0,0.3411
163271,0,0.3429
164013,0,0.3824
164047,0,0.412
164231,0,0.341
164256,0,0.3694
164291,0,0.3832
164320,0,0.3699
164355,0,0.3728
164466,0,0.3737
164480,0,0.3638
164483,0,0.4652
164572,0,0.3443
165179,0,0.3822
165208,0,0.3748
165362,0,0.4273
165548,0,0.3683
165588,0,0.3627
165589,0,0.3666
165641,0,0.3693
165688,0,0.3879
165709,0,0.3833
165847,0,0.3801
165869,0,0.4018
165881,0,0.3661
165893,0,0.3725
165903,0,0.3675
165905,0,0.3603
166170,0,0.3684
166364,0,0.3705
166435,0,0.3747
166526,0,0.3983
166818,0,0.3662
166843,0,0.3639
166964,0,0.4007
167155,0,0.3757
167172,0,0.3685
167174,0,0.4151
167377,0,0.3775
167624,0,0.3572
167861,0,0.3478
167895,0,0.3472
168089,0,0.3742
168094,0,0.371
168199,0,0.3828
168282,0,0.3849
168403,0,0.3615
168727,0,0.3748
168993,0,0.3673
169669,0,0.3691
169837,0,0.3676
169990,0,0.3638
170675,0,0.3695
170929,0,0.4045
171022,0,0.3888
171028,0,0.4192
171182,0,0.3904
171395,0,0.3669
171750,0,0.3831
171792,0,0.4006
171975,0,0.41
172242,0,0.429
172755,0,0.37
172887,0,0.3572
172904,0,0.3824
173052,0,0.369
173262,0,0.3904
173299,0,0.3635
173354,0,0.3717
173536,0,0.392
173796,0,0.4619
174023,0,0.3729
174415,0,0.3716
174607,0,0.3415
174622,0,0.3842
174660,0,0.371
174987,0,0.3671
175008,0,0.3692
175011,0,0.4121
175355,0,0.383
175414,0,0.4104
175425,0,0.39
175448,0,0.3671
175617,0,0.3949
175939,0,0.3622
175975,0,0.3667
176110,0,0.3737
176196,0,0.3424
176227,0,0.3432
176629,0,0.4063
176847,0,0.3682
177270,0,0.4679
177920,0,0.3632
177922,0,0.3678
178005,0,0.4022
178220,0,0.3732
178248,0,0.4327
178590,0,0.3824
178659,0,0.3803
178767,0,0.3678
178966,0,0.3778
179070,0,0.3743
179387,0,0.3778
179614,0,0.3458
180125,0,0.4064
180643,0,0.3942
181342,0,0.3653
181749,0,0.3936
181791,0,0.3443
181801,0,0.3678
181867,0,0.4619
182198,0,0.3824
182573,0,0.3414
182903,0,0.3378
182931,0,0.3332
182961,0,0.3737
182976,0,0.3678
183142,0,0.3738
183547,0,0.3685
183603,0,0.3709
183659,0,0.3691
183750,0,0.3586
183857,0,0.3695
183866,0,0.369
183941,0,0.4322
184241,0,0.3755
184476,0,0.3733
184713,0,0.3651
184741,0,0.4143
184749,0,0.3752
184767,0,0.3646
185132,0,0.3611
185513,0,0.3972
185897,0,0.3673
186211,0,0.3762
186239,0,0.3738
186429,0,0.3643
186609,0,0.3734
186635,0,0.3666
186806,0,0.3626
187718,0,0.3824
188132,0,0.3951
188296,0,0.3787
188537,0,0.4035
188769,0,0.3656
189212,0,0.3734
189216,0,0.416
189400,0,0.3695
189438,0,0.348
189594,0,0.3627
189707,0,0.3604
190037,0,0.4026
190466,0,0.3695
190636,0,0.3441
190713,0,0.3832
191033,0,0.4153
191136,0,0.3478
191223,0,0.363
191355,0,0.3385
191413,0,0.3491
191421,0,0.3691
191510,0,0.3737
191629,0,0.35
191656,0,0.4135
191800,0,0.3637
191976,0,0.3438
192184,0,0.3761
192272,0,0.371
192401,0,0.4018
192460,0,0.3784
193036,0,0.4064
193166,0,0.3691
193187,0,0.3757
193294,0,0.3584
193312,0,0.3742
193367,0,0.3742
193622,0,0.3829
193624,0,0.4318
193640,0,0.3632
193673,0,0.3824
193768,0,0.3794
193946,0,0.363
194094,0,0.3485
194118,0,0.3646
194176,0,0.3738
194403,0,0.3674
194615,0,0.3904
194630,0,0.4018
194685,0,0.3601
194858,0,0.369
194884,0,0.3682
195011,0,0.3618
195160,0,0.3624
195165,0,0.376
195248,0,0.3792
195386,0,0.3633
195501,0,0.3908
195888,0,0.3407
196041,0,0.3709
196046,0,0.346
196508,0,0.367
196563,0,0.3729
196683,0,0.39
196711,0,0.3649
196758,0,0.3824
197104,0,0.4133
197439,0,0.376
197528,0,0.3437
197752,0,0.3539
197970,0,0.429
198004,0,0.371
198471,0,0.38
198676,0,0.371
198741,0,0.3693
198850,0,0.3793
199189,0,0.3443
199730,0,0.3663
199879,0,0.3757
200067,0,0.3949
200287,0,0.4023
200874,0,0.4045
200988,0,0.3836
201718,0,0.4052
201874,0,0.4101
202129,0,0.3924
202396,0,0.3619
202703,0,0.3686
202906,0,0.4307
203161,0,0.3388
203177,0,0.3751
203294,0,0.3661
203331,0,0.4171
203423,0,0.3556
203525,0,0.3891
203710,0,0.3353
204024,0,0.3643
204078,0,0.3709
204120,0,0.3312
204270,0,0.3904
204295,0,0.3656
204388,0,0.3766
204638,0,0.3511
204715,0,0.3791
204857,0,0.3791
205022,0,0.357
205114,0,0.4327
205153,0,0.35
205475,0,0.3451
205510,0,0.3426
205619,0,0.3951
205731,0,0.3693
206034,0,0.3689
206037,0,0.3649
206225,0,0.3831
206286,0,0.3599
206336,0,0.4019
206442,0,0.3807
206596,0,0.3601
206639,0,0.3713
206812,0,0.3686
206906,0,0.3669
207049,0,0.3738
207718,0,0.3705
207893,0,0.3738
207910,0,0.3987
208280,0,0.3611
208367,0,0.3824
208510,0,0.367
209080,0,0.3678
209165,0,0.4045
209740,0,0.4042
209777,0,0.3678
209881,0,0.3729
209968,0,0.4008
210151,0,0.3562
210688,0,0.3722
210818,0,0.3383
211042,0,0.348
211269,0,0.3986
211364,0,0.3904
211557,0,0.3397
211673,0,0.3801
212008,0,0.394
212013,0,0.3695
212332,0,0.3823
213144,0,0.3749
213447,0,0.3913
213950,0,0.383
214013,0,0.3693
214158,0,0.3761
214178,0,0.3737
214335,0,0.3942
214352,0,0.3694
214419,0,0.4004
214473,0,0.3715
214967,0,0.3742
215223,0,0.3707
215420,0,0.3443
215518,0,0.4652
215682,0,0.3624
215858,0,0.3452
215980,0,0.3651
215996,0,0.3988
216009,0,0.3442
216178,0,0.3824
216184,0,0.3749
216330,0,0.3692
216406,0,0.4045
216944,0,0.4046
217307,0,0.387
217320,0,0.3839
217345,0,0.3791
217588,0,0.3792
217616,0,0.3759
217644,0,0.412
217658,0,0.3639
217701,0,0.4012
217943,0,0.4018
218118,0,0.3693
218119,0,0.362
218162,0,0.4029
218183,0,0.3786
218263,0,0.3725
218401,0,0.4042
218513,0,0.3685
218587,0,0.3935
218629,0,0.3672
218665,0,0.3449
218813,0,0.3934
219023,0,0.3784
219052,0,0.3816
219056,0,0.3566
219586,0,0.3709
219812,0,0.3988
219917,0,0.3771
220127,0,0.4064
220808,0,0.3637
221596,0,0.363
222364,0,0.3749
222418,0,0.3491
222437,0,0.4171
222715,0,0.3582
223014,0,0.361
223386,0,0.343
224423,0,0.3695
224648,0,0.3747
224816,0,0.3658
224840,0,0.3751
224925,0,0.338
224928,0,0.3742
225108,0,0.3822
225130,0,0.3637
225256,0,0.3536
225440,0,0.4619
225713,0,0.3684
225990,0,0.3839
226057,0,0.3649
226180,0,0.418
226464,0,0.3888
226514,0,0.3694
226516,0,0.4318
226600,0,0.4064
226741,0,0.3695
226769,0,0.388
226864,0,0.3429
227353,0,0.3745
227531,0,0.3676
227629,0,0.3935
227957,0,0.3453
228039,0,0.3785
228348,0,0.3409
228544,0,0.3742
228672,0,0.3698
228902,0,0.3549
228904,0,0.3567
229153,0,0.3624
229188,0,0.3718
229339,0,0.359
229364,0,0.3622
229445,0,0.3839
229669,0,0.3909
230052,0,0.3771
230113,0,0.3695
230166,0,0.3711
230196,0,0.3435
230275,0,0.3461
230325,0,0.4064
230337,0,0.4045
230894,0,0.4113
230966,0,0.3986
230985,0,0.4064
231034,0,0.3451
231150,0,0.3475
231174,0,0.382
231448,0,0.4652
231535,0,0.3632
232004,0,0.405
232012,0,0.3975
